Status,Category,Name,Description,Menu Price,Override Price,Image
Active,soups-salads,French Onion Soup,"Classic beef & onion broth + gruyere, focaccia crouton",,,french-onion-soup.webp
Active,soups-salads,North Valley House Salad,"Mixed greens, pepperoni, peppadews, marinated artichoke hearts, pepperoncini, & olives stuffed in a prosciutto wrapped provolone bowl + house dressing",,,north-valley-house-salad.webp
Active,soups-salads,Classic Caesar,"Romaine hearts, garlic croutons, parmesan frico + house Caesar dressing",,,caesar-salad.webp
Active,soups-salads,Caprese Salad,"Creamy burrata cheese, oven roasted tomatoes, lemon arugula, crispy prosciutto + pesto vinaigrette",,,caprese-salad.webp
Active,shareables,Charcuterie Board,Rotating assortments of 3 cured meats & fine cheeses + accoutrements (for 2 or 4),,,charcuterie-board.webp
Active,shareables,Purv's Famous Wings,"Crispy, whole wing sections tossed choice of sauce + veggie crudité & house bleu cheese dressing",,,purvs-famous-wings.webp
Active,shareables,Meatballs Al Forno,Mom's Meatballs & Sunday gravy wood-oven baked with mozzarella cheese + focaccia,,,meatballs-al-forno.webp
Active,shareables,Flaming Fried Cheese,"Crispy, breaded provolone + Sunday gravy & focaccia (Flambéed tableside!)",,,flaming-fried-cheese.webp
Active,shareables,Slider Trio,"Kobe beef, cooper cheese, bacon jam, roasted garlic aioli + pretzel buns",,,slider-trio.webp
Active,shareables,Artichoke Franchaise,Lemon-butter sauce,,,artichoke-franchaise.webp
Active,shareables,Wild Mushroom Skillet,"Local 3rd Kingdom Mushrooms, roasted garlic, truffle oil",,,wild-mushroom-skillet.webp
Active,shareables,Lamb Lollipops,Herb crusted + cracked pepper aioli,,,lamb-lollipops.webp
Active,shareables,Ahi Tuna,Black & white sesame encrusted + wasabi aioli & ponzu,,,ahi-tuna.webp
Active,shareables,Deviled Eggs,"Whipped yolk, garlic aioli, gherkins, smoked paprika",,,deviled-eggs.webp
Active,shareables,Potatoes Bravas,Crispy fingerlings + smoked paprika aioli,,,potatoes-bravas.webp
Active,shareables,NVT BLT,"Slab bacon + heirloom tomato, arugula, bacon jam, & roasted garlic aioli",,,nvt-blt.webp
Active,flatbreads,Margherita,"Fresh mozzarella, plum tomato sauce, basil",,,margherita.webp
Active,flatbreads,North Valley Special,"Mozzarella & Cooper sharp, plum tomato sauce, Locatelli",,,north-valley-special.webp
Active,flatbreads,Sweet Heat,"Cup n Char pepperoni, hot honey, burrata + cheese blend & plum tomato sauce",,,sweet-heat.webp
Active,flatbreads,Fun-Guy,"Local 3rd Kingdom wild mushrooms, cheese blend, prosciutto, Locatelli, porcini dust",,,fun-guy.webp
Active,flatbreads,House White,"Roasted garlic, cheese blend, whipped ricotta, rosemary, Locatelli",,,house-white.webp
Active,flatbreads,Fig & Pig,"Prosciutto, fig spread, cheese blend, arugula salad",,,fig-and-pig.webp
Active,flatbreads,The Jimmy,"Hot Italian sausage, roasted red peppers, long hots, red onion + cheese blend & plum tomato sauce",,,the-jimmy.webp
Active,desserts,Affogato,"The ultimate marriage of two iconic Italian desserts. Silky vanilla gelato ""drowned"" in bold, hot espresso.",,,
Active,desserts,Apple Rose Tart,"A visually stunning and balanced dessert that combines the sweetness of apples with the richness of a flaky, buttery crust.",,,
Active,desserts,Tiramisu,"Classic Italian tiramisu, featuring layers of creamy custard set atop espresso-soaked ladyfingers, finished with a dusting of cocoa powder.",,,